가게이름,카테고리,주소,전화번호,영업시간,메뉴,최소가격,최대가격,차액,평점,사진,주소,나이대,분위기,목적
동보성,중식,광주시 동구 금남로5가 62-8,062-223-3159,매일 오전 10시 30분 - 오후 9시,"['짜장면', '군만두', '우동', '짬뽕', '간짜장']","['5,000원', '5,000원', '7,000원', '7,000원', '7,000원']",5000,7000,2000,3.0점,https://d12zq4w4guyljn.cloudfront.net/750_750_20221223140609_photo1_13346a3efb38.jpg,https://www.diningcode.com/profile.php?rid=tATof4Nu1Zjj,[],[],[]
영안반점,중식,광주시 동구 금남로5가 135,062-223-6098,매일 오전 10시 30분 - 오후 9시,"['짜장면', '삼선짬뽕', '탕수육', '우동', '짬짜면', '삼선우동', '볶음밥', '짜장밥']","['6,000원', '8,000원', '35,000원', '6,000원', '8,000원', '8,000원', '6,000원', '6,000원']",6000,35000,29000,5.0점,https://d12zq4w4guyljn.cloudfront.net/750_750_20221111110245307_photo_277d4bf6869c.jpg,https://www.diningcode.com/profile.php?rid=V4PLLgWb7wfH,['40대'],"['점심식사', '데이트']",['깔끔한']
복록수,중식,광주시 동구 불로동 159,062-222-9909,매일 오후 5시 - 오전 5시,"['양꼬치(어깨살)', '양꼬치(갈비살)', '양갈비', '고급양갈비', '양다리', '새우꼬치', '오징어꼬치', '번데기', '중국식 샤브샤브 뷔페', 'A코스', 'B코스', 'C코스']","['12,000원', '13,000원', '16,000원', '18,000원', '70,000원', '15,000원', '12,000원', '10,000원', '15,000원', '33,000원', '44,000원', '55,000원']",10000,70000,60000,게시되지 않음,게시되지 않음,https://www.diningcode.com/profile.php?rid=EasxUgsfBhep,['30대'],[],[]
왕자관,중식,광주시 동구 충장로1가 8-2,062-222-3344,매일 오전 10시 - 오후 9시 30분,"['유니짜장', '짬뽕', '짬뽕밥', '탕수육 小', '탕수육 中', '탕수육 大']","['5,000원', '6,000원', '7,000원', '18,000원', '23,000원', '28,000원']",5000,28000,23000,게시되지 않음,게시되지 않음,https://www.diningcode.com/profile.php?rid=2pTlOb2y2y5d,['30대'],"['점심식사', '혼밥', '데이트']","['깔끔한', '예쁜']"
구사역,중식,광주시 동구 광산동 88-7,062-223-9493,"오늘의 안주 20,000원","['오늘의 안주', '매콤 국물 떡볶이', '기차 계란말이', '마른안주', '훈제치킨 로제파스타', '진미채 골뱅이 소면', '매콤 치즈 갈비찜', '김치전', '구사화채', '오꼬노미야끼', '구사 모듬 과일', '구사 황도', '돼지고기 두부김치', '낙지볶음', '제육볶음', '닭볶음탕', '차돌박이 숙주볶음', '닭똥집 볶음+계란찜세트', '무뼈 닭발볶음+계란찜', '국물 닭발+주먹밥 세트', '오돌뼈 볶음+주먹밥 세트', '쭈꾸미 삼겹살', '구사 떡갈비', '고로케 새우튀김', '모듬 소시지+감자튀김', '또띠아+순살치킨', '모듬튀김', '칠리새우+감자튀김', '케이준 치킨 샐러드', '간사이 오뎅탕', '매운짬뽕', '해물알탕', '묵은지 뼈다귀탕', '구사 김치찌개', '구사 부대찌개', '나가사끼 짬뽕', '곱창전골', '모시조개 브로콜리탕', '불고기 전골', '한방 닭백숙(죽or칼국수)', '해물라면', '계란찜', '주먹밥', '볶음밥', '공기밥', '중국당면', '라면사리', '우동사리', 'SET1,구사 김치찌개&amp;윙봉+감자튀김', 'SET2.매콤국물떡볶이&amp;모든튀김']","['20,000원', '18,000원', '14,000원', '16,000원', '21,000원', '20,000원', '21,000원', '15,000원', '18,000원', '15,000원', '19,000원', '13,000원', '18,000원', '20,000원', '19,000원', '20,000원', '20,000원', '20,000원', '21,000원', '19,000원', '19,000원', '20,000원', '19,000원', '20,000원', '18,000원', '20,000원', '18,000원', '19,000원', '17,000원', '19,000원', '20,000원', '20,000원', '21,000원', '19,000원', '20,000원', '20,000원', '20,000원', '20,000원', '20,000원', '20,000원', '5,000원', '5,000원', '3,000원', '8,000원', '1,000원', '2,500원', '1,000원', '2,000원', '31,000원', '30,000원']",1000,31000,30000,3.0점,https://d12zq4w4guyljn.cloudfront.net/750_750_20200108104611197_photo_f8089d108807.jpg,https://www.diningcode.com/profile.php?rid=vYzUJrPzi1aY,[],[],[]
와야객점,중식,광주시 동구 금동 27-3 2층,062-222-3517,"월-목,일 오후 5시 30분 - 오전 5시","['구름스끼야끼', '차사오보쌈', '멘보샤', '어향동고']","['20,000원', '16,000원', '16,000원', '16,000원']",16000,20000,4000,3.0점,https://d12zq4w4guyljn.cloudfront.net/750_750_20191228125112_photo1_fd9fce766b40.jpg,https://www.diningcode.com/profile.php?rid=gjRDXRO08Bm4,[],[],"['분위기좋은', '깔끔한', '예쁜']"
라화쿵부 광주충장로점,중식,광주시 동구 충장로3가 41-1,062-228-8399,"화,수,목,금,토/일 오전 11시 - 오후 9시","['마라탕100g', '마라향궈100g', '쌀국수', '샤오롱바오', '꿔바로우']","['1,850원', '3,000원', '8,000원', '7,000원', '16,000원']",1850,16000,14150,게시되지 않음,게시되지 않음,https://www.diningcode.com/profile.php?rid=hUGflpf8Iy84,[],[],[]
신마녀짬뽕,중식,광주시 동구 황금동 55-4,062-232-8582,게시되지 않음 None,,,0,0,0,게시되지 않음,게시되지 않음,https://www.diningcode.com/profile.php?rid=PKtCcDZIaEJI,[],[],[]
탕화쿵푸마라탕 충장점,중식,광주시 동구 불로동 5-2,,매일 오전 10시 30분 - 오후 10시 35분,"['마라탕(100g)', '마라향궈(100g)', '꿔바로우']","['1,800원', '3,000원', '12,000원']",1800,12000,10200,4.0점,https://d12zq4w4guyljn.cloudfront.net/750_750_20230131113144_photo1_029d8dae7875.jpg,https://www.diningcode.com/profile.php?rid=vKw3XnqZElFK,[],[],[]
고봉민김밥인,중식,광주시 동구 대의동 80-2,062-222-7897,매일 오전 8시 - 오후 9시,"['여수갓참치김밥', '제주흑돼지김밥', '치즈김밥', '떡갈비김밥', '새우김밥', '소불고기김밥', '매콤어묵김밥', '우동', '잔치국수', '쫄면', '비빔국수', '손수제비', '강릉짬뽕순두부', '만둣국', '떡볶이', '신라면', '고봉민돈까스', '치즈돈까스', '고구마치즈돈까스', '오므라이스', '순두부찌개', '고봉민돼지국밥', '돌판비빔밥', '고봉민김밥', '육개장한상', '소불고기덮밥', '물냉면(하절기)', '비빔냉면(하절기)', '냉모밀(하절기)', '떡국(동절기)', '납작탕수육', '박고지김밥', '돈까스김밥', '체다치돈김밥', '맵돈김밥', '매운김밥', '참치김밥']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",0,12000,10200,게시되지 않음,게시되지 않음,https://www.diningcode.com/profile.php?rid=EWp2HnweRGr8,[],[],[]
중국성,중식,광주시 동구 불로동 186-5,062-234-2168,게시되지 않음 None,,,0,0,0,게시되지 않음,게시되지 않음,https://www.diningcode.com/profile.php?rid=bLqk7a6q8MUF,[],[],[]
홍콩반점0410 광주충장로점,중식,광주시 동구 황금동 74,062-234-0410,"월,수,목,금,토/일 오전 11시 - 오후 9시","['짬뽕', '짜장면', '탕수육(소)', '짬뽕밥', '짜장밥', '쟁반짜장', '군만두']","['7,000원', '6,000원', '14,900원', '7,500원', '8,000원', '14,000원', '6,000원']",6000,14900,8900,게시되지 않음,게시되지 않음,https://www.diningcode.com/profile.php?rid=2NShrsXahVH9,[],[],[]
와키키,중식,광주시 동구 금남로4가 81-2,062-222-5987,매일 오전 11시 - 오후 8시,"['베트남 쌀국수', '김치찌개', '고기짬뽕', '해물짬뽕', '고추잡채밥', '꿔바로우', '포모도로 파스타', '버섯크림 파스타', '로제 파스타', '마르게리따 피자', '페퍼로니 피자', '풍기 피자', '된장찌개', '펍-나초체다소스', '펍-먹태', '펍-감자튀김', '펍-왕새우튀김(10p)', '펍-모듬튀김', '펍-모듬소시지', '펍-치킨샐러드', '펍-오뎅탕', '순두부찌개', '부대찌개(2인기준)', '돼지불고기 덮밥', '소불고기 덮밥', '꼬막비빔밥', '불고기전골(2인기준)', '볶음밥(고기/새우)']","['5,000원', '7,500원', '9,000원', '10,000원', '8,500원', '16,000원', '11,000원', '13,000원', '14,000원', '13,000원', '13,000원', '15,000원', '7,500원', '6,000원', '16,000원', '12,000원', '15,000원', '25,000원', '15,000원', '18,000원', '20,000원', '7,500원', '20,000원', '9,000원', '10,000원', '10,000원', '25,000원', '8,500원']",5000,25000,20000,게시되지 않음,게시되지 않음,https://www.diningcode.com/profile.php?rid=7Etvg8Xxjh5s,[],[],[]
샤오바오우육면 광주충장로점,중식,광주시 동구 금남로2가 28-1,,"화,수,목,금,토/일 오전 11시 - 오후 9시","['우육면', '우육면 맑은탕', '마약곱창우육면', '마장면', '차오멘', '깐풍 닭날개', '산더미 숙주탕수육', '동파저우즈 (중식족발)', '꿔바러우', '가지탕수', '가지만두', '마라수육', '오향수육', '깐쇼새우', '샤오롱바오', '감자채무침', '마라오이']","['9,500원', '9,500원', '13,000원', '11,000원', '11,000원', '16,000원', '18,000원', '38,000원', '11,000원', '10,000원', '12,000원', '15,000원', '25,000원', '25,000원', '5,000원', '5,000원', '5,000원']",5000,38000,33000,게시되지 않음,게시되지 않음,https://www.diningcode.com/profile.php?rid=FLoml4n3I1j6,[],[],[]
황금성,중식,광주시 동구 대인동 183,062-225-0085,"월-금,토 오전 10시 30분 - 오후 8시","['짜장면', '짬뽕', '삼선우동', '탕수육']","['5,500원', '7,000원', '9,000원', '17,000원']",5500,17000,11500,게시되지 않음,게시되지 않음,https://www.diningcode.com/profile.php?rid=nuMqNgnyAuxv,[],[],[]
애상마라탕 황금점,중식,광주시 동구 황금동 21-4,062-225-6888,매일 오전 11시 - 오후 10시,"['마라탕 100g', '마라샹궈100g', '꿔바로우(대)', '크림새우', '볶음밥']","['2,200원', '3,000원', '16,000원', '18,000원', '7,000원']",2200,18000,15800,게시되지 않음,게시되지 않음,https://www.diningcode.com/profile.php?rid=GZQ4k33Xjldg,[],[],[]
마라클럽 충장점,중식,광주시 동구 황금동 84,062-400-9888,매일 오전 10시 30분 - 오후 10시,"['마라탕(100g)', '마라샹궈(100g)', '꿔바로우', '미니꿔바로우', '계란볶은밥', '멘보샤(4개)', '멘보샤(6개)']","['1,850원', '3,000원', '15,000원', '10,000원', '6,000원', '5,000원', '7,000원']",1850,15000,13150,게시되지 않음,게시되지 않음,https://www.diningcode.com/profile.php?rid=DERfeSqp1Skj,[],[],[]
멘무샤 충장NC웨이브점,중식,광주시 동구 충장로4가 29-2 NC웨이브 9층,062-718-9597,매일 오전 11시 - 오후 10시,"['돈코츠라멘', '미소라멘', '탄탄멘', '소유라멘', '나가사끼짬뽕', '돈까스카레', '치즈돈까스카레', '가츠동', '부타옹']","['8,000원', '8,000원', '8,500원', '8,000원', '9,000원', '8,500원', '10,500원', '8,500원', '8,500원']",8000,10500,2500,게시되지 않음,게시되지 않음,https://www.diningcode.com/profile.php?rid=ZY9Kc5VNq4jx,[],[],[]
리얼안심탕수육 동구점,중식,광주시 동구 남동 171-1,062-224-7762,매일 오전 9시 - 오후 11시,"['반/반 탕수육(소)', '김치치즈탕수육(소)', '볶음 탕수육(소)', '찍먹 탕수육(미니)', '사장님강추세트(소)']","['18,000원', '19,000원', '19,000원', '12,000원', '23,000원']",12000,23000,11000,게시되지 않음,게시되지 않음,https://www.diningcode.com/profile.php?rid=LDv3QbPzJRcz,[],[],[]
만리향,중식,광주시 동구 불로동 186-5,062-234-2167,매일 오전 10시 - 오후 8시 30분,"['왕짜장', '왕짬뽕', '간짜장', '볶음밥', '불짜장', '차돌박이짬뽕', '찹쌀탕수육']","['8,500원', '10,000원', '7,500원', '8,500원', '8,500원', '10,000원', '']",7500,10000,2500,게시되지 않음,게시되지 않음,https://www.diningcode.com/profile.php?rid=psLbG0r4VQOu,[],"['회식', '가족외식']",['푸짐한']
신락원 광주본점 신관,중식,광주시 동구 충장로5가 43,,게시되지 않음 None,,,0,0,0,게시되지 않음,게시되지 않음,https://www.diningcode.com/profile.php?rid=cD9xWYftA0DP,[],[],[]
소굴,중식,광주시 동구 금동 30-17,062-382-2220,"청양마늘치킨 19,900원","['청양마늘치킨', '통삼겹김치볶음', '목살김치찌개', '수제탕수육', '칠리치즈닭철판볶음']","['19,900원', '19,900원', '19,900원', '19,900원', '19,900원']",19900,19900,0,게시되지 않음,게시되지 않음,https://www.diningcode.com/profile.php?rid=FtnAz82KS6hI,[],[],"['조용한', '깔끔한']"
1515짜장면,중식,광주시 동구 대의동 31-1,062-236-1514,"월-금,토 오전 11시 - 오후 8시 30분","['짜장면', '우동', '오므라이스', '잡채밥', '탕수육+짜장2+만두', '짬뽕', '간짜장', '불짜장', '삼선짬뽕', '육계장', '갈비탕', '국 밥', '볶음밥']","['5,000원', '5,000원', '8,000원', '8,000원', '19,000원', '6,000원', '5,500원', '6,000원', '8,000원', '6,500원', '6,900원', '6,500원', '6,500원']",5000,19000,14000,게시되지 않음,게시되지 않음,https://www.diningcode.com/profile.php?rid=8xfewvzwWrMM,[],[],[]
지존마라탕,중식,광주시 동구 황금동 102,062-224-3555,매일 오전 11시 - 오후 10시 30분,"['마라탕 (100g)', '마라향궈 (100g)', '공기밥', '소주', '맥주', '칭다오맥주', '하얼빈맥주', '음료', '중국음료', '꿔바로우 (대)', '꿔바로우 (소)', '새우계란볶음밥', '꽃빵튀김', '소고기 (100g)', '양고기 (100g)', '꼬치류 (개당)', '라면사리']","['1,600원', '3,000원', '1,000원', '4,000원', '4,000원', '6,000원', '6,000원', '2,000원', '3,000원', '17,000원', '12,000원', '6,000원', '6,000원', '3,000원', '3,000원', '1,000원', '2,000원']",1000,17000,16000,게시되지 않음,게시되지 않음,https://www.diningcode.com/profile.php?rid=X2ZX3llrypNa,[],['혼밥'],['가성비좋은']
도야짬뽕 충장로점,중식,광주시 동구 대인동 150,062-232-2292,매일 오전 11시 - 오후 9시,"['도야짬뽕', '차돌짬뽕', '도야짜장', '찹쌀 탕수육 중']","['7,000원', '9,000원', '5,500원', '20,000원']",5500,20000,14500,게시되지 않음,게시되지 않음,https://www.diningcode.com/profile.php?rid=B2UcR5Xa1LJy,[],[],[]
이츠랩,중식,광주시 동구 장동 58-55,062-222-1102,토/일 오후 5시 - 오전 3시,"['모듬 꼬치', '닭백숙 누룽지', '연어&amp;김밥', '매콤 돼지갈비찜', '초원위에 육회', '미나리 새우전', '차돌폭탄 전골', '콘치즈 핫치킨', '이츠랩스테이크', '단새우 냉파스타', '치토스 치킨']","['19,900원', '23,000원', '23,900원', '25,000원', '22,000원', '12,000원', '23,900원', '20,000원', '24,000원', '10,900원', '11,000원']",10900,25000,14100,게시되지 않음,게시되지 않음,https://www.diningcode.com/profile.php?rid=IheQCN4dcMrW,[],[],['분위기좋은']
애상마라탕 황금점,중식,광주시 동구 황금동 21-4,062-225-6888,매일 오전 11시 - 오후 10시,"['마라탕 100g', '마라샹궈100g', '꿔바로우(대)', '크림새우', '볶음밥']","['2,200원', '3,000원', '16,000원', '18,000원', '7,000원']",2200,18000,15800,게시되지 않음,게시되지 않음,https://www.diningcode.com/profile.php?rid=GZQ4k33Xjldg,[],[],[]
마라클럽 충장점,중식,광주시 동구 황금동 84,062-400-9888,매일 오전 10시 30분 - 오후 10시,"['마라탕(100g)', '마라샹궈(100g)', '꿔바로우', '미니꿔바로우', '계란볶은밥', '멘보샤(4개)', '멘보샤(6개)']","['1,850원', '3,000원', '15,000원', '10,000원', '6,000원', '5,000원', '7,000원']",1850,15000,13150,게시되지 않음,게시되지 않음,https://www.diningcode.com/profile.php?rid=DERfeSqp1Skj,[],[],[]
청원모밀,일식,광주시 동구 충장로3가 31-7,062-222-2210,매일 오전 10시 30분 - 오후 8시,"['모밀국수', '모밀자장', '마른모밀', '유부우동', '비빔모밀', '냉모밀국수', '김치모밀', '유부초밥', '왕만두']","['7,000원', '7,000원', '7,000원', '7,000원', '8,000원', '8,000원', '8,500원', '6,000원', '6,000원']",6000,8500,2500,3.3점,https://d12zq4w4guyljn.cloudfront.net/750_750_20220617045015_photo01_18d215d95c52.jpg,https://www.diningcode.com/profile.php?rid=tWfLS5zaN05z,"['20대', '30대']","['점심식사', '저녁식사', '혼밥']","['서민적인', '깔끔한', '지역주민이찾는']"
아카이타코,일식,광주시 동구 황금동 111,062-236-3402,토/일 오후 2시 - 오후 8시,"['기본타코야키', '매운 타코야키', '명란치즈타코야키', '토마토치즈타코야키']","['6,000원', '6,000원', '6,000원', '6,000원']",6000,6000,0,4.1점,https://d12zq4w4guyljn.cloudfront.net/750_750_20220425120456_photo1_915d7504201f.jpg,https://www.diningcode.com/profile.php?rid=YCUUiv2mX6rW,"['20대', '30대']",['간식'],['시끌벅적한']
하이드아웃,일식,광주시 동구 금동 34-5,,월-금 오후 6시 - 오전 2시,"['생연어사시미', '로제 멘치카츠', '크림새우', '칠리새우', '새우감바스', '숯불고기야끼소바', '차슈카레전골', '차돌박이 술찌개', '닭고기가라아게', '매콤깐풍기', '통새우가라아게', '투움바치킨']","['25,000원', '23,000원', '22,000원', '20,000원', '23,000원', '22,000원', '22,000원', '23,000원', '21,000원', '21,000원', '22,000원', '24,000원']",20000,25000,5000,5.0점,https://d12zq4w4guyljn.cloudfront.net/750_750_20210721051035_photo1_626e45778b31.jpg,https://www.diningcode.com/profile.php?rid=dIHTSznMQ1rg,"['20대', '60대%20이상']",['데이트'],"['분위기좋은', '조용한']"
도쿄스테이크,일식,광주시 동구 충장로2가 29-1,062-224-9991,매일 오전 11시 30분 - 오후 9시 30분,"['스테이크 덮밥', '부챗살 스테이크 S', '부챗살 스테이크 M', '등심스테이크 S', '등심스테이크 M', '찹 스테이크 S', '찹 스테이크 M', '찹 스테이크 L', '카이센 알리올리오 파스타', '도쿄 명란 파스타', '북해도 미쇼 파스타', '스테키 나폴리 파스타', '카니크림 파스타', '와우 스테이크 치즈 떡볶이', '나토리동', '부채살 스테이크 덮밥', '큐브 스테이크 덮밥', '마우나동', '도쿄카레', '돈까스카레', '새우튀김카레', '치킨가라아게카레', '찹스테이크 카레', '카라탄탄멘', '규돈멘', '규탄멘', '하규멘', '하탄멘', '쉬림프로제파스타', '와카스파스타', '대창덮밥', '큐브스테이크덮밥']","['9,700원', '14,900원', '20,900원', '16,900원', '22,900원', '12,900원', '15,900원', '22,900원', '7,800원', '8,500원', '8,800원', '9,800원', '9,800원', '9,800원', '7,800원', '8,900원', '9,300원', '9,800원', '6,500원', '7,700원', '8,500원', '8,800원', '9,300원', '7,300원', '8,300원', '8,500원', '9,300원', '9,500원', '12,500원', '11,300원', '11,700원', '9,900원']",6500,22900,16400,3.6점,https://d12zq4w4guyljn.cloudfront.net/750_750_20200502111825_photo1_4b432840ce9b.jpg,https://www.diningcode.com/profile.php?rid=jdBebN64bpFw,"['20대', '30대']","['점심식사', '저녁식사', '데이트', '식사모임']",['깔끔한']
역전우동0410 광주충장로점,일식,광주시 동구 충장로1가 26-1,062-232-4989,매일 오전 10시 30분 - 오후 10시,"['역전돈까스', '더블치즈돈까스', '새우튀김우동', '매운모둠어묵우동', '소불고기우동', '카레우동', '냉모밀', '매콤치킨마요덮밥', '돈까스덮밥', '매콤제육덮밥', '소불고기 김치덮밥', '카레덮밥', '얼큰파닭국수', '치킨미니덮밥', '명란미니덮밥', '돼지갈비맛튀김', '사이드돈까스', '양파마요치킨', '불오뎅', '왕만두튀김', '매콤김말이', '불만두', '새우튀김', '구운파닭국수', '비빔물면', '우볶이', '옛날우동', '김치우동', '오뎅우동', '냉우동']","['8,500원', '9,000원', '6,500원', '6,500원', '6,500원', '6,500원', '6,000원', '7,000원', '6,500원', '6,500원', '7,000원', '6,500원', '6,500원', '3,500원', '3,000원', '3,500원', '3,500원', '3,500원', '2,500원', '2,000원', '2,000원', '2,000원', '2,000원', '6,500원', '6,500원', '5,500원', '4,500원', '5,000원', '5,000원', '6,000원']",2000,9000,7000,3.7점,https://d12zq4w4guyljn.cloudfront.net/750_750_20211028062158_photo2_bafb58e4aa35.jpg,https://www.diningcode.com/profile.php?rid=iyZURyKFxy4d,[],[],[]
홍익돈까스 충장점,일식,광주시 동구 호남동 78-5 2층,062-225-7942,매일 오전 11시 30분 - 오후 9시 30분,"['홍익돈까스', '로제돈까스', '돈까스 정식', '로스까스', '생선까스 정식', '더블 치즈 돈까스', '안심까스', '세트A', '세트B', '모둠까스', '치즈롤까스', '해물 볶음 우동', '베이컨 볶음 우동', '홍익 우동', '까르보나라', '토마토 치즈 파스타', '로제 파스타', '알리오 올리오', '해물 크림 파스타', '해물 토마토 파스타', '새우볶음밥', '쉬림프볼', '불고기볶음밥', '볶음짬뽕', '순살치킨', '사이드콤보']","['13,000원', '13,500원', '12,500원', '12,500원', '11,900원', '14,000원', '12,500원', '11,900원', '11,900원', '14,000원', '12,500원', '11,900원', '11,500원', '5,500원', '13,000원', '13,000원', '14,000원', '13,500원', '14,000원', '14,000원', '10,000원', '4,000원', '10,000원', '11,900원', '4,000원', '5,000원']",4000,14000,10000,4.3점,https://d12zq4w4guyljn.cloudfront.net/750_750_20221213095150_photo1_bafb58e4aa35.jpg,https://www.diningcode.com/profile.php?rid=QUK7pp4wgmJQ,[],[],[]
가매초밥,일식,광주시 동구 광산동 77-6,062-232-6677,매일 오전 11시 30분 - 오후 10시,"['오도로초밥', '연어샐러드', '카다이프 애비후라이', '테이크아웃/ A세트', '테이크아웃/ B세트', '테이크아웃/ C세트', '테이크아웃/ D세트']","['10,000원', '17,000원', '17,000원', '15,000원', '20,000원', '30,000원', '35,000원']",10000,35000,25000,4.0점,https://d12zq4w4guyljn.cloudfront.net/750_750_20210329010814_photo1_45241ef334d7.jpg,https://www.diningcode.com/profile.php?rid=vYVN9S1hewH7,"['20대', '30대']","['저녁식사', '데이트', '회식']","['격식있는', '고급스러운', '깔끔한']"
안교,일식,광주시 동구 황금동 13-6,062-227-3250,"월,화,목,금,토/일 오전 11시 30분 - 오후 8시 30분","['수제생돈까스', '눈꽃치즈돈까스', '소바세트', '우동세트', '쫄면세트', '스키야키', '쫄면', '냉모밀', '우동', '김치볶음밥돈까스']","['5,900원', '9,500원', '8,900원', '8,900원', '9,900원', '12,900원', '7,000원', '6,000원', '5,000원', '9,500원']",5000,12900,7900,3.2점,https://d12zq4w4guyljn.cloudfront.net/750_750_20220704090215_photo1_b2fc61edb123.jpg,https://www.diningcode.com/profile.php?rid=Lwyn8SshfV0A,"['20대', '30대']","['점심식사', '저녁식사', '혼밥', '데이트', '가족외식', '식사모임']","['가성비좋은', '고급스러운', '깔끔한', '예쁜']"
청춘덮밥,일식,광주시 동구 충장로2가 2-5,062-236-6654,매일 오전 11시 30분 - 오후 8시 30분,"['🥇닭마호크덮밥', ""💥Devil's 덮밥"", '트리플덮밥(참치+연어+참치타다끼)', '꼬막덮밥', '마약간장 계란덮밥', '크림 우동', '청춘우동', '세트메뉴-청춘덮밥+세트우동', '세트메뉴-불타는청춘덮밥+세트우동', '💥염라닭갈비덮밥', '청춘덮밥', '불타는청춘덮밥', '연어덮밥', ""💥Devil's 비빔면 (+공깃밥)"", '참치덮밥', '참치타다끼덮밥', '반반덮밥(참치+연어)']","['8,900원', '7,900원', '14,900원', '9,900원', '4,500원', '8,900원', '6,000원', '9,500원', '9,900원', '8,900원', '6,500원', '6,900원', '11,900원', '8,400원', '12,900원', '12,900원', '13,900원']",4500,14900,10400,4.0점,https://d12zq4w4guyljn.cloudfront.net/750_750_20230327093153_photo1_eb8a7a03d008.jpg,https://www.diningcode.com/profile.php?rid=Jn8uWxVwgUq1,"['20대', '40대']","['점심식사', '저녁식사', '혼밥', '데이트', '식사모임']","['가성비좋은', '푸짐한', '서민적인', '시끌벅적한', '깔끔한', '예쁜']"
미미당,일식,광주시 동구 충장로1가 1-18,062-222-8451,"월,수,목,금,토/일 오전 11시 30분 - 오후 9시","['우쭈쭈치즈까스', '돈까스', '함바그까스', '냉모밀', '연어초밥(8pcs)', '연어샐러드']","['10,000원', '9,000원', '9,000원', '7,000원', '9,000원', '12,000원']",7000,12000,5000,5.0점,https://d12zq4w4guyljn.cloudfront.net/750_750_20201107100050727_photo_a6ca46df7828.jpg,https://www.diningcode.com/profile.php?rid=hoGLdHbAko8A,"['20대', '30대']","['점심식사', '저녁식사', '혼밥']","['가성비좋은', '예쁜']"
산수모밀,일식,광주시 동구 금남로2가 15,062-233-5525,매일 오전 10시 - 오후 9시,"['온메밀', '냄비유부모밀', '경양식돈까스', '치즈돈까스', '유뷰초밥', '메밀만두', '모밀짜장', '옛날우동', '어묵우동', '마른모밀', '냉모밀', '비빔모밀', '모밀콩국수', '일본식돈까스']","['7,000원', '8,000원', '8,000원', '9,000원', '6,000원', '6,000원', '6,000원', '5,000원', '6,000원', '7,000원', '8,000원', '8,000원', '8,000원', '8,000원']",5000,9000,4000,4.0점,https://d12zq4w4guyljn.cloudfront.net/750_750_20220812120639813_photo_969185507250.jpg,https://www.diningcode.com/profile.php?rid=cLtOwnuD2GuQ,"['20대', '40대']","['점심식사', '저녁식사', '혼밥', '데이트']",['깔끔한']
굿스시,일식,광주시 동구 황금동 115,062-227-0722,매일 오전 11시 30분 - 오후 10시,"['평일 런치', '평일 디너', '주말/공휴일', '초등학생', '미취학생', '포장판매(25pcs)']","['16,900원', '19,900원', '19,900원', '13,900원', '6,900원', '15,900원']",6900,19900,13000,2.8점,https://d12zq4w4guyljn.cloudfront.net/750_750_20191231103044347_photo_f8089d108807.jpg,https://www.diningcode.com/profile.php?rid=c8XDb4dfq5Xn,['30대'],['데이트'],[]
미도인 충장로점,일식,광주시 동구 충장로3가 41-1,062-222-1233,매일 오전 11시 30분 - 오후 9시,"['미도인 가정식 스테이크', '미도인 스테이크 덮밥', '곱창 대창 덮밥(한정메뉴)', '큐브 스테이크 덮밥', '대창 덮밥', '곱창대창 큐브스테이크 덮밥(한정메뉴)', '대창 큐브 스테이크 덮밥(대큐)', '명란 크림 파스타', '새우 로제 생면 파스타', '바질크림 새우파스타', '청두 사천 탄탄멘', '미도인 곱창 라멘(한정메뉴)', '400 등심 스테이크 덮밥(한정메뉴)', '미도인 마제소바', '곱대 마제소바', '미도인 우실장 떡볶이', '미도인 곱창 떡볶이 (한정메뉴)', '미도인 스카치 에그 (한정메뉴)', '마리네이드 토마토 사라다', '음료/주류', '가정식 스테이크 구첩 반상(한정메뉴)', '가정식 대창 구첩 반상(한정메뉴)', '가정식 부챗살 스테이크', '트리플 스테이크', '대창 가정식 스테이크', '곱창 가정식 스테이크(한정메뉴)', '화산 불백 덮밥']","['13,800원', '10,500원', '13,900원', '11,500원', '12,500원', '16,800원', '14,800원', '12,800원', '13,800원', '14,800원', '8,800원', '12,800원', '15,200원', '9,800원', '13,800원', '9,500원', '13,900원', '4,800원', '6,500원', '', '15,900원', '15,900원', '14,800원', '15,800원', '17,700원', '18,700원', '9,300원']",4800,18700,13900,4.0점,https://d12zq4w4guyljn.cloudfront.net/750_750_20221002080114_photo1_63bcd9b6366b.jpg,https://www.diningcode.com/profile.php?rid=AXSU7a9oTYjR,[],[],[]
